"SL","ENT","Cochlear Implant Surgery*
Surgery(53000) *pre -op
evaluation(including vaccine
for meningitis)- 10000/-
*Initial mapping and swithch
on - 5000/-Rehabilitation
Therapy (part- 1 for first 6
months) -21700
Rehabilitation Therapy (part-
2 for second 6 months)-
40300","Cochlear Implant Surgery*
Surgery(53000) *pre -op
evaluation(including vaccine for
meningitis)- 10000/- *Initial mapping and
swithch on - 5000/-Rehabilitation
Therapy (part- 1 for first 6 months) -
21700 Rehabilitation Therapy (part- 2 for
second 6 months)-40300","SL036A","new procedure","New","130000","162500","184600","195000","","#N/A","#N/A"
"SM","Oral & Maxillofacial
Surgery","TM joint ankylosis of both
jaws - under GA","1.TM joint ankylosis of both jaws - under
GA
(Unilateral)","SM003A","15,000","No change","15,000","15000","21300","18800","","No","NA"
"SM","Oral & Maxillofacial
Surgery","Fixation of fracture of jaw","Closed reduction (1 jaw) using wires -
under LA/GA","SM004A","5,000","No change","5000","5000","5900","6300","","No","NA"
"SM","Oral & Maxillofacial
Surgery","Fixation of fracture of jaw","Open reduction (1 jaw) and fixing of
plates / wire – under LA/GA
Cost of implant Titanium:- TBF at pre-
auth","SM004B","12,000","No change","12000","12000","17100","15000","8000","No","NA"
"SM","Oral & Maxillofacial
Surgery","Correction of oro-antral
communication","Correction of oro-antral Fistula","SM009A","7,000","No change","7000","7000","8200","8800","","Yes",""
"SM","Oral & Maxillofacial
Surgery","Dentoalveolar trauma - wiring","Dentoalveolar trauma - wiring (dental
/trauma wiring- one jaw)","SM011A","3,000","No change","3000","3000","3600","3800","","No",""
"SM","Oral & Maxillofacial
Surgery","Osteoradionecrosis
management by excision","Osteoradionecrosis of jaws
management by excision under LA","SM014A","5,000","No change","5000","6300","7100","6300","","Yes",""
"SM","Oral & Maxillofacial
Surgery","Extraction of impacted tooth
under LA","Extraction of impacted tooth under LA","SM001A","500","Increased","750","800","900","1000","","No","NA"
"SM","Oral & Maxillofacial
Surgery","Sequestrectomy
Debridement","Osteomyelitis -Acute","SM002A","1,500","Increased","2000","2000","2400","2500","","No","NA"
"SM","Oral & Maxillofacial
Surgery","Surgery for Cyst & tumour of
Maxilla / Mandible","Enucleation / excision of cyst / tumour
of jaws under LA +cost of implant","SM005A","2,500","Increased","2625","2700","3100","3300","","No","NA"
"SM","Oral & Maxillofacial
Surgery","Surgery for Cyst & tumour of
Maxilla / Mandible","Enucleation / excision of cyst / tumour
of jaws under GA","SM005B","2,500","Increased","5437.5","5500","6400","6800","","No","NA"
"SM","Oral & Maxillofacial
Surgery","Mandible Tumour Resection
and reconstruction / Cancer
surgery","Maxilla / Mandible neoplastic Tumour
Resection and reconstruction (Cancer
surgery)","SM006A","6,000","Increased","13500","13500","19200","16900","","No","NA"
"SM","Oral & Maxillofacial
Surgery","Release of fibrous bands &
grafting - in (OSMF)
treatment under GA","1.Release of fibrous bands & grafting -
in (OSMF) treatment under LA: 5000","SM007A","3,000","Increased","3300","3300","4700","4200","","No","NA"
"SM","Oral & Maxillofacial
Surgery","Apicoectomy (A) Tooth","Apicoectomy (A)
(1-3 teeth) LA/GA
3-6:4000","SM008A","1,500","Increased","1500","1500","1800","1900","","No",""
"SM","Oral & Maxillofacial
Surgery","Submandibular sialolithotomy","Intraoral submandibular sialolithotomy
LA/ GA","SM010A","6,000","Increased","7000","7000","8200","8800","","Yes",""
"SM","Oral & Maxillofacial
Surgery","Submandibular sialolithotomy","No change","SM010C","9,000","Increased","9000","9000","10600","11300","","No",""
"SM","Oral & Maxillofacial
Surgery","Parotid sialolithotomy","No change","SM012A","11,000","Increased","12000","12000","14100","15000","","No",""
"SM","Oral & Maxillofacial
Surgery","Parotid sialolithotomy","No change","SM012B","6,000","Increased","7000","7000","8200","8800","","Yes",""
"SM","Oral & Maxillofacial
Surgery","Re-implantation of Avulsed
tooth with wiring","Re-implantation of Avulsed tooth with
wiring (1-3 teeth)
3-6 :6000","SM013A","1,500","Increased","1650","1700","2000","2100","Re-implantation of Avulsed tooth with wiring (4-6
teeth):12000
Re-implantation of Avulsed tooth with wiring (7-9
teeth):18000","No",""
"SM","Oral & Maxillofacial
Surgery","Sequestrectomy
Debridement","Osteomyelitis-Chronic","SM002B","new procedure","New","3000","3800","4300","4500","","#N/A","#N/A"
"SM","Oral & Maxillofacial
Surgery","TM joint ankylosis of both
jaws - under GA","2.TM joint ankylosis of both jaws - under
GA (Bilateral)-
(Covering Reconstruction)","SM003B","new procedure","New","25000","31300","35500","37500","","#N/A","#N/A"
"SM","Oral & Maxillofacial
Surgery","Release of fibrous bands &
grafting - in (OSMF)
treatment under GA","2. Release of fibrous release bands &
coronoidectomy with grafting - in
(OSMF) treatment under GA","SM007B","new procedure","New","15000","18800","21300","22500","","#N/A","#N/A"
"SM","Oral & Maxillofacial
Surgery","Osteoradionecrosis
management by excision","2.Osteoradionecrosis of Jaws
management by excision and / or
reconstruction under GA + Implant :
12000 +Implant","SM014B","new procedure","New","12000","15000","17100","18000","","#N/A","#N/A"
"SN
SN
SN","Neurosurgery
Neurosurgery
Neurosurgery","Depressed Skull Fracture
Twist Drill Craniostomy
Duroplasty","Surgery for Depressed Skull fracture
Twist Drill Craniostomy
Duroplasty with Endogenous graft- (May
be perfomed as a add-on procedure)","SN001A
SN003A
SN007A","40000
15000
12500","No change
No change
No change","40000
15000
12500","50000
18800
15700","56800
21300
17800","60000
22500
18800","","No
No
No","NA
NA
NA"
"SN","Neurosurgery","Duroplasty","Duroplasty with Exogenous graft- (May
be perfomed as an add-on procedure)
Cost of graft will be extra","SN007B","12500","No change","12500","15700","17800","18800","Implant for "Duroplasty - Exogenous" -
To be decided by SHA","No","NA"
"SN
SN","Neurosurgery
Neurosurgery","Ventricular Puncture
Reexploration for Cranial /
Spinal surgeries","Ventricular Tap
Reexploration for Cranial / Spinal
surgeries","SN021A
SN062A","15000
25000","No change
No change","15000
25000","18800
31300","21300
35500","22500
37500","","No
No","NA"
"SN","Neurosurgery","Conservative management of
high cervical injury","Conservatively managed spinal injury
with ventilator","SN063A","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","no change","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward -
2300HDU - 3630
ICU (without Ventilator) -
9350
ICU (with Ventilator) -
9900","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","","Yes","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000"
"SN","Neurosurgery","Conservative management of
high cervical injury","Conservatively managed Severe Head
injury","SN063C","Routine Ward - 2100
HDU - 3300
ICU (without
Ventilator) - 8500
ICU (with Ventilator) -
9000","no change","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000","Routine Ward -
2300HDU - 3630
ICU (without Ventilator) -
9350
ICU (with Ventilator) -
9900","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","Routine Ward - 2400
HDU - 3800
ICU (without Ventilator) -
9700
ICU (with Ventilator) -
10350","","Yes","Routine Ward - 2100
HDU - 3300
ICU (without Ventilator) -
8500
ICU (with Ventilator) -
9000"
"SN","Neurosurgery","Cranial Nerve Anastomosis","Cranial nerve re-anastomosis/Repair
(Facial/)","SN048A","32000","Decrease","25000","31300","35500","37500","","No","NA"
"SN","Neurosurgery,
Orthopedics","Thoracic / Lumbar
Corpectomy with fusion","Cervical/Thoracic/ Lumbar corpectomy
with fusion for Tumor/Infection/Trauma","SN032A","60000","Increased","75000","93800","106500","112500","","No","NA"
"SN","Neurosurgery,
Orthopedics","Laminectomy","Laminectomy without fusion for lumbar
or cervical canal stenosis","SN034A","40000","Increased","50000","62500","71000","75000","","No","NA"
