"SN","Neurosurgery","Excision of Cervical Ribs","Excision of Cervical Ribs","SN031A","20000","Increased","28750","36000","40900","43200","","Yes","Single - 20000
Multiple - 30000"
"SN","Neurosurgery","Lumbar Discectomy","Microscopic/Endoscopic Lumbar
Discectomy (One level)","SN033A","30000","Increased","33750","42200","48000","50700","","No","NA"
"SN
SN","Neurosurgery
Neurosurgery","Neurectomy
Micro discectomy","Peripheral Neurectomy
Anterior Cervical Discectomy with fusion
(Cost of implants to be extra)","SN035A
SN036A","16000
40000","Increased
Increased","20000
50000","25000
62500","28400
71000","30000
75000","","No
No","NA
NA"
"SN","Neurosurgery","Spine - Extradural
Haematoma","Intraspinal Extradural hematoma
evacuation","SN039A","30000","Increased","33750","42200","48000","50700","","No","NA"
"SN
SN","Neurosurgery
Neurosurgery","Spine - Extradural Tumour
Spine - Extradural Tumour","Excision of extradural spinal tumor
Excision of extradural spinal tumor with
fusion and fixation (Cost of implants to
be extra)","SN041A
SN041B","30000
30000","Increased
Increased","43125
43125","54000
54000","61300
61300","64700
64700","Implant for Spine - Extradural Tumour
with fixation - 10000","No
No","NA
NA"
"SN","Neurosurgery","Spine - Intradural Tumour","Excision of Intradural extramedullary
tumor","SN042A","40000","Increased","50000","62500","71000","75000","","No","NA"
"SN","Neurosurgery","Spine - Intradural Tumour","Excision of Intradural extramedullary
tumor with fusion and ficxation (Cost of
implants to be extra)","SN042B","40000","Increased","54375","68000","77300","81600","Implant for Spine - Intradural Tumour
with fixation - 10000","No","NA"
"SN","Neurosurgery","Spine - Intramedullar Tumour","Excision of Intramedullary tumor of
spine","SN043A","50000","Increased","51562.5","64500","73300","77400","","No","NA"
"SN","Neurosurgery","Spine - Intramedullar Tumour","Excision of Intramedullary tumor with
fusion and ficxation (Cost of implants to
be extra)","SN043B","50000","Increased","51562.5","64500","73300","77400","Implant for Spine - Intramedullar
Tumour with fixation - 10000","No","NA"
"SN","Neurosurgery","R. F. Lesioning for
Trigeminal Neuralgia","R. F. Lesioning for Trigeminal Neuralgia","SN044A","16500","Increased","20000","25000","28400","30000","","No","NA"
"SN
SN
SN","Neurosurgery
Neurosurgery
Neurosurgery","Brachial Plexus – Repair
Nerve Decompression
Peripheral Nerve Surgery","Brachial Plexus repair
Peripheral nerve repair/Neurolysis
Peripheral nerve tumor excision and
repair","SN045A
SN047A
SN049B","27000
16000
30000","Increased
Increased
Increased","36625
17062.5
33750","45800
21400
42200","52100
24300
48000","55000
25600
50700","","No
No
No","NA
NA
NA"
"SN","Neurosurgery","Nerve Biopsy excluding
Hensens","Nerve Biopsy excluding Hansen's","SN050A","7000","Increased","7500","9400","10700","11300","","No","NA"
"SN
SN","Neurosurgery
Neurosurgery","Muscle Biopsy with report
Gamma Knife radiosurgery
(GKRS) / SRS for tumours /
Arteriovenous malformation
(AVM)","Muscle Biopsy
Gamma Knife Radiosurgery for
tumors/AVMs/ Trigeminal Neuralgia","SN051A
SN054A","7000
75000","Increased
Increased","7500
75000","9400
93800","10700
106500","11300
112500","","No
No","NA
NA"
"SN","Neurosurgery","Endoscopic Third
Ventriculostomy","Endoscopic Third ventriculostomy","SN057A","27000","Increased","36625","45800","52100","55000","","No",""
"SN","Neurosurgery","R. F. Lesioning","Radiofrequency lesioning for sacroilitis","SN059A","5000","Increased","8125","10200","11600","12200","","No",""
"SN","Neurosurgery","R. F. Lesioning","Radiofrequency lesioning for chronic
back pain","SN059B","5000","Increased","8125","10200","11600","12200","","No",""
"SN
SN","Neurosurgery
Neurosurgery","Discectomy - Dorsal
Diagnostic Cerebral / Spinal
Angiography (DSA - Digital
Substraction Angiography)","Discectomy - Dorsal
Diagnostic Cerebral / Spinal
Angiography (DSA - Digital Substraction
Angiography)","SN060A
SN061A","30000
12000","Increased
Increased","33750
16625","42200
20800","48000
23700","50700
25000","TBF","No
No",""
"SN","Neurosurgery","AVM EMBOLISATION","AVM
EMBOLISATION/THROMBECTOMY","SN064A","new procedure","New","175000","218800","248500","262500","","#N/A","#N/A"
