"Annexure - 2"
"High End Drugs"
"","","",""
"Sl No.","Name","Price","Recommended Dose"
"1","Recombinant tissue plasminogen activator","42000","0.9 mg/kg (not to exceed 90
mg total treatment dose)
infused over 60 minutes."
"2","Tenecteplase","24900","0.2 mg/kg (max dose is
20mg) given as a bolus dose
over 1-2min volume of TNK
to be administered at a
dilution of 2mg/ml"
"3","Heparin","15000","Based on wieght and age of
patient"
"4","Antibiotic","10000","Based on wieght and age of
patient"
"5","Antifungal","75000","Based on wieght and age of
patient"
"6","Methylprednisolone","25000","0.117-1.66 mg/kg/day orally
divided every 6-8 hours"
"7","IV immunoglobins","250000",""
"8","Erythropoeitin","5000 units-Rs700
10000 units-Rs1000","5000 units-Rs700
10000 units-Rs1000"
"9","Liposomal amphotericin","Minimum 125000","for 2.5 Gm dosage. @ 2500
per 50mg"
"10","IVIG","atleast 1.5 to 2 lakh
total","3000 per GM @ 2 GM/Per
Kg body weight. Almost 20
GM in adult dose."
"11","IvIg for Kawasaki Disease","2000 per gm","0.4 gm/Kg body wt/day"
"12","IvIg for GB Syndrome","2000 per gm","2gm /Kg body weight"
"13","IvIg for ITP","2000 per gm","1gm /Kg body weight"
"14","Rituximab","Rs 7500 per
500mg/50ml box","500mg to 1 gm"
"15","Human Albumin 20%","Rs 6000 per 100ml
infusion","250-500ml"
"16","Albumin 5%","Rs 3000 per 100ml
infusion","250-500ml"
"17","Etanercept","Rs 10000 for 50gm and
Rs5000 for 25mg","0.8mg/kg body wt"
"18","Adalimumab","Rs 15000 for 40mg
Injection, 40 mg / 0.8 ml","24mg/m2"
"19","Abatacept","Rs 23000 for 250 mg","10 mg/kg"
"20","Imipenem","7000","1gm147.57. 3 gm per day
dose"
"21","Meropenem","7000","1gm 159.93. 3 gm Per day
dose"
"22","Piperacillin-Tazobactem","3000","4.5gm 66.52. 4.5gm TDS per
day dose"
"23","Colistin","7000","1 MU 73.92. Dose 9 MU"
"24","Vancomycin","2100","500mg 45.15. 2gm per day
dose."
"25","Amphotericin deoxycholate","1000","50mg 121.06."
"","","",""
"","","",""
"High end procedures"
"","","",""
