"SL No.","Procedure","Package amount in Rs.",""
"1","USG guided percutaneous Radiofrequency Ablation (RFA)","26640",""
"2","USG guided percutaneous Microwave Ablation (MWA)","30640",""
"3","CT guided percutaneous Radiofrequency Ablation (RFA)","29040",""
"4","CT guided percutaneous Microwave Ablation (MWA)","33040",""
"5","USG guided percutaneous catheter drainage","5820",""
"6","CT guided percutaneous catheter drainage","5820",""
"7","Cerebral angiogram under local anesthesia","5800",""
"8","Cerebral angiogram under general anesthesia","18900",""
"9","Spinal Angiogram under general anesthesia","18900",""
"10","Plasmapheresis","70000",""
"High End Diagnostics"
"","","",""
"SL No.","Diagnostics","Procedure Rate",""
"1","Lymphangiography","10920",""
"2","Diagnostic venography (DVA)","5520",""
"3","IVUS(Intravascular Ultrasound)","16560",""
"4","Diskography","5520",""
"5","USG guided percutaneous biopsy","2520",""
"6","USG guided percutaneous FNAC","720",""
"7","USG guided percutaneous needle aspiration","720",""
"8","CT guided percutaneous biopsy","3720",""
"9","CT guided percutaneous FNAC","3120",""
"10","CT guided percutaneous needle aspiration","3120",""
"11","Genetic workup","20000",""
"12","Metabolic work up","30000",""
"13","Video EEG Monitoring Test (VEEG)","3600",""
