"Type of City","X( Tier -1)"
"",""
"Sl. No","Name of the city"
"1","Delhi"
"2","Hyderabad"
"3","Ahmadabad"
"4","Bangalore"
"5","Mumbai"
"6","Pune"
"7","Chennai"
"8","Kolkata"
"",""
"Type of City","Y ( Tier 2)"
"1","Agra"
"2","Ajmer"
"3","Aligarh"
"4","Amravati"
"5","Amritsar"
"6","Asansol"
"7","Aurangabad"
"8","Bareilly"
"9","Belgaum"
"10","Bhavnagar"
"11","Bhiwandi"
"12","Bhopal"
"13","Bhubaneswar"
"14","Bikaner"
"15","Bilaspur"
"16","Bokaro Steel City"
"17","Chandigarh"
"18","Coimbatore"
"19","Cuttack"
"20","Dehradun"
"21","Dhanbad"
"22","Bhilai"
"23","Durgapur"
"24","Erode"
"25","Faridabad"
"26","Firozabad"
"27","Ghaziabad"
"28","Gorakhpur"
"29","Gulbarga"
"30","Guntur"
"31","Gwalior"
"32","Gurugram"
"33","Guwahati"
